from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022074000160001,9022074000160001,1,,393900000000000001,393900000000000411
9022074000160001,9022074000160001,1,,393900000000000001,393900000000000508
9022074000160001,9022074000160001,1,,393900000000000006,393900000000000411
9022074000160001,9022074000160001,1,,393900000000000006,393900000000000508
9022074000160001,9022074000160001,1,,393900000000000006,393900000000000467
9022074000210001,9022074000210001,1,,393900000000000507,393900000000000209
9022074000008001,9022074000008001,1,,393900000000000035,393900000000000409
9022074000008001,9022074000008001,1,,393900000000000035,393900000000000410
9022074000008001,9022074000008001,1,,393900000000001165,393900000000001792
9022074000077001,9022074000077001,1,,393900000000000051,393900000000000237
9022074000111001,9022074000111001,1,,393900000000000580,393900000000000599
9022074000039001,9022074000039001,1,,393900000000000695,393900000000000696
9022074000039001,9022074000039001,1,,393900000000000723,393900000000000724
9022074000039001,9022074000039001,1,,393900000000000697,393900000000000698
9022074000039001,9022074000039001,1,,393900000000000699,393900000000000700
9022074000039001,9022074000039001,1,,393900000000000725,393900000000000726
9022074000039001,9022074000039001,1,,393900000000000701,393900000000000702
9022074000039001,9022074000039001,1,,393900000000000727,393900000000000728
9022074000039001,9022074000039001,1,,393900000000000729,393900000000000730
9022074000039001,9022074000039001,1,,393900000000000703,393900000000000704
9022074000008001,9022074000008001,1,,393900000000000897,393900000000001794
9022074000008001,9022074000008001,1,,393900000000001354,393900000000001794
9022074000008001,9022074000008001,1,,393900000000000905,393900000000001847
9022074000008001,9022074000008001,1,,393900000000000098,393900000000000231
9022074000008001,9022074000008001,1,,393900000000000909,393900000000000832
9022074000008001,9022074000008001,1,,393900000000000909,393900000000001302
9022074000008001,9022074000008001,1,,393900000000000909,393900000000001849
9022074000008001,9022074000008001,1,,393900000000000915,393900000000001812
9022074000008001,9022074000008001,1,,393900000000000915,393900000000001853
9022074000008001,9022074000008001,1,,393900000000001088,393900000000001853
9022074000210001,9022074000210001,1,,393900000000000107,393900000000000506
9022074000210001,9022074000210001,1,,393900000000000107,393900000000000342
9022074000210001,9022074000210001,1,,393900000000000109,393900000000000357
9022074000099001,9022074000099001,1,,393900000000000123,393900000000000291
9022074000099001,9022074000099001,1,,393900000000000136,393900000000000447
9022074000210001,9022074000210001,1,,393900000000000150,393900000000000593
9022074000133001,9022074000133001,1,,393900000000000349,393900000000000122
9022074000160001,9022074000160001,1,,393900000000000202,393900000000000506
9022074000160001,9022074000160001,1,,393900000000000340,393900000000000255
9022074000210001,9022074000210001,1,,393900000000000340,393900000000000110
9022074000160001,9022074000160001,1,,393900000000000461,393900000000000653
9022074000210001,9022074000210001,1,,393900000000000461,393900000000000110
9022074000002001,9022074000002001,1,,393900000000000221,393900000000000513
9022074000002001,9022074000002001,1,,393900000000001094,393900000000001147
9022074000002001,9022074000002001,1,,393900000000001751,393900000000001147
9022074000002001,9022074000002001,1,,393900000000001792,393900000000001154
9022074000002001,9022074000002001,1,,393900000000001792,393900000000001829
9022074000008001,9022074000008001,1,,393900000000000224,393900000000000033
9022074000133001,9022074000133001,1,,393900000000000224,393900000000000316
9022074000008001,9022074000008001,1,,393900000000000404,393900000000000033
9022074000133001,9022074000133001,1,,393900000000000404,393900000000000053
9022074000008001,9022074000008001,1,,393900000000000225,393900000000000568
9022074000002001,9022074000002001,1,,393900000000000227,393900000000000084
9022074000002001,9022074000002001,1,,393900000000000825,393900000000000887
9022074000002001,9022074000002001,1,,393900000000001104,393900000000000887
9022074000002001,9022074000002001,1,,393900000000001333,393900000000000887
9022074000002001,9022074000002001,1,,393900000000001845,393900000000001833
9022074000002001,9022074000002001,1,,393900000000001845,393900000000000887
9022074000008001,9022074000008001,1,,393900000000000229,393900000000000095
9022074000008001,9022074000008001,1,,393900000000000418,393900000000000095
9022074000008001,9022074000008001,1,,393900000000000431,393900000000000095
9022074000008001,9022074000008001,1,,393900000000000829,393900000000000902
9022074000008001,9022074000008001,1,,393900000000001106,393900000000000902
9022074000008001,9022074000008001,1,,393900000000001301,393900000000000902
9022074000008001,9022074000008001,1,,393900000000001803,393900000000000902
9022074000008001,9022074000008001,1,,393900000000001890,393900000000000902
9022074000008001,9022074000008001,1,,393900000000000230,393900000000000571
9022074000008001,9022074000008001,1,,393900000000000419,393900000000000571
9022074000133001,9022074000133001,1,,393900000000000419,393900000000000507
9022074000008001,9022074000008001,1,,393900000000000831,393900000000000904
9022074000008001,9022074000008001,1,,393900000000001108,393900000000000904
9022074000008001,9022074000008001,1,,393900000000001805,393900000000000904
9022074000008001,9022074000008001,1,,393900000000001848,393900000000000904
9022074000002001,9022074000002001,1,,393900000000001808,393900000000001353
9022074000002001,9022074000002001,1,,393900000000001808,393900000000001835
9022074000002001,9022074000002001,1,,393900000000001850,393900000000001867
9022074000002001,9022074000002001,1,,393900000000001850,393900000000000891
9022074000002001,9022074000002001,1,,393900000000001850,393900000000001880
9022074000002001,9022074000002001,1,,393900000000001891,393900000000000891
9022074000099001,9022074000099001,1,,393900000000000234,393900000000000307
9022074000099001,9022074000099001,1,,393900000000000421,393900000000000307
9022074000008001,9022074000008001,1,,393900000000000235,393900000000000099
9022074000133001,9022074000133001,1,,393900000000000235,393900000000000347
9022074000008001,9022074000008001,1,,393900000000000838,393900000000000910
9022074000008001,9022074000008001,1,,393900000000001111,393900000000000910
9022074000008001,9022074000008001,1,,393900000000001811,393900000000000910
9022074000008001,9022074000008001,1,,393900000000000236,393900000000000100
9022074000008001,9022074000008001,1,,393900000000000493,393900000000000100
9022074000008001,9022074000008001,1,,393900000000000548,393900000000000554
9022074000008001,9022074000008001,1,,393900000000000840,393900000000000912
9022074000008001,9022074000008001,1,,393900000000001112,393900000000000912
9022074000008001,9022074000008001,1,,393900000000001339,393900000000001357
9022074000008001,9022074000008001,1,,393900000000001813,393900000000001357
9022074000008001,9022074000008001,1,,393900000000001854,393900000000000912
9022074000008001,9022074000008001,1,,393900000000001893,393900000000000912
9022074000008001,9022074000008001,1,,393900000000000238,393900000000000201
9022074000008001,9022074000008001,1,,393900000000000434,393900000000000439
9022074000008001,9022074000008001,1,,393900000000000842,393900000000000914
9022074000008001,9022074000008001,1,,393900000000001341,393900000000001359
9022074000008001,9022074000008001,1,,393900000000001815,393900000000001359
9022074000008001,9022074000008001,1,,393900000000001856,393900000000000914
9022074000008001,9022074000008001,1,,393900000000000239,393900000000000258
9022074000077001,9022074000077001,1,,393900000000000239,393900000000000351
9022074000008001,9022074000008001,1,,393900000000000844,393900000000000916
9022074000008001,9022074000008001,1,,393900000000001113,393900000000000916
9022074000008001,9022074000008001,1,,393900000000001816,393900000000000916
9022074000008001,9022074000008001,1,,393900000000001895,393900000000000916
9022074000008001,9022074000008001,1,,393900000000000848,393900000000000920
9022074000008001,9022074000008001,1,,393900000000001117,393900000000000920
9022074000008001,9022074000008001,1,,393900000000001872,393900000000000920
9022074000008001,9022074000008001,1,,393900000000001896,393900000000000920
9022074000001001,9022074000001001,1,,393900000000001205,393900000000001163
9022074000001001,9022074000001001,1,,393900000000000286,393900000000000035
9022074000001001,9022074000001001,1,,393900000000000293,393900000000000101
9022074000001001,9022074000001001,1,,393900000000001285,393900000000000913
9022074000001001,9022074000001001,1,,393900000000001551,393900000000000913
9022074000001001,9022074000001001,1,,393900000000000299,393900000000000251
9022074000001001,9022074000001001,1,,393900000000000299,393900000000000166
9022074000001001,9022074000001001,1,,393900000000001220,393900000000001140
9022074000001001,9022074000001001,1,,393900000000001903,393900000000001140
9022074000099001,9022074000099001,1,,393900000000000301,393900000000000422
9022074000160001,9022074000160001,1,,393900000000000351,393900000000000656
9022074000160001,9022074000160001,1,,393900000000000351,393900000000000244
9022074000210001,9022074000210001,1,,393900000000000353,393900000000000170
9022074000210001,9022074000210001,1,,393900000000000353,393900000000000171
9022074000133001,9022074000133001,1,,393900000000000360,393900000000000580
9022074000160001,9022074000160001,1,,393900000000000411,393900000000000247
9022074000160001,9022074000160001,1,,393900000000000411,393900000000000424
9022074000008001,9022074000008001,1,,393900000000000547,393900000000000563
9022074000008001,9022074000008001,1,,393900000000000824,393900000000000898
9022074000008001,9022074000008001,1,,393900000000001332,393900000000001514
9022074000008001,9022074000008001,1,,393900000000001332,393900000000001482
9022074000008001,9022074000008001,1,,393900000000001799,393900000000001838
9022074000008001,9022074000008001,1,,393900000000001844,393900000000000898
9022074000004001,9022074000004001,1,,393900000000000512,393900000000000614
9022076000207001,9022076000207001,1,,393900000000000686,393900000000000687
9022074000008001,9022074000008001,1,,393900000000000846,393900000000000918
9022074000008001,9022074000008001,1,,393900000000001115,393900000000000918
9022074000008001,9022074000008001,1,,393900000000001818,393900000000000918
9022074000008001,9022074000008001,1,,393900000000001836,393900000000000918
9022074000008001,9022074000008001,1,,393900000000001858,393900000000000918
9022074000008001,9022074000008001,1,,393900000000001870,393900000000000918
9022074000004001,9022074000004001,1,,393900000000000551,393900000000000738
9022074000004001,9022074000004001,1,,393900000000000551,393900000000000613
9022074000008001,9022074000008001,1,,393900000000000899,393900000000001796
9022074000008001,9022074000008001,1,,393900000000000899,393900000000000821
9022074000008001,9022074000008001,1,,393900000000000899,393900000000001887
9022074000008001,9022074000008001,1,,393900000000000899,393900000000001101
9022074000008001,9022074000008001,1,,393900000000000899,393900000000001554
9022074000008001,9022074000008001,1,,393900000000000570,393900000000000227
9022074000008001,9022074000008001,1,,393900000000000903,393900000000000825
9022074000008001,9022074000008001,1,,393900000000000903,393900000000001845
9022074000008001,9022074000008001,1,,393900000000000903,393900000000001104
9022074000008001,9022074000008001,1,,393900000000000903,393900000000001333
9022074000133001,9022074000133001,1,,393900000000000574,393900000000000167
9022074000133001,9022074000133001,1,,393900000000000574,393900000000000168
9022074000210001,9022074000210001,1,,393900000000000576,393900000000000208
9022074000160001,9022074000160001,1,,393900000000000666,393900000000000462
9022076000207001,9022076000207001,1,,393900000000000690,393900000000000691
9022074000039001,9022074000039001,1,,393900000000000717,393900000000000718
9022074000039001,9022074000039001,1,,393900000000000719,393900000000000720
9022074000039001,9022074000039001,1,,393900000000000721,393900000000000722
9022074000008001,9022074000008001,1,,393900000000000827,393900000000000900
9022074000008001,9022074000008001,1,,393900000000001105,393900000000001167
9022074000008001,9022074000008001,1,,393900000000001334,393900000000001515
9022074000008001,9022074000008001,1,,393900000000001334,393900000000001483
9022074000008001,9022074000008001,1,,393900000000001508,393900000000000900
9022074000008001,9022074000008001,1,,393900000000001801,393900000000001839
9022074000008001,9022074000008001,1,,393900000000001846,393900000000000900
9022074000008001,9022074000008001,1,,393900000000001889,393900000000001167
9022074000222001,9022074000222001,1,,393900000000002306,393900000000002307
9022074000222001,9022074000222001,1,,393900000000002308,393900000000002309
9022074000039001,9022074000039001,1,,393900000000002262,393900000000002263
9022074000039001,9022074000039001,1,,393900000000002264,393900000000002261
9022074000222001,9022074000222001,1,,393900000000002300,393900000000002301
9022074000039001,9022074000039001,1,,393900000000002265,393900000000002261
9022074000222001,9022074000222001,1,,393900000000002302,393900000000002303
9022074000222001,9022074000222001,1,,393900000000002304,393900000000002305
9022074069350001,9022074004383001,2,600,,
9022074000773001,9022074064286001,2,600,,
9022074000080001,9022074043449001,2,660,,
9022074001014001,9022074001568001,2,1200,,
9022074020510001,9022074020700001,2,1200,,
9022074000283001,9022074012010001,2,900,,
9022074000221001,9022074010040001,2,1200,,
9022074001617001,9022074000622001,2,1800,,
9022074027905001,9022074000133001,2,1200,,
9022074030117001,9022074015585001,2,900,,
9022074000172001,9022074011078001,2,1500,,
9022076002348001,9022076000100001,2,3000,,
9022074000773001,9022074021672001,2,600,,
9022074015585001,9022074059478001,2,900,,
9022074020133001,9022074000556001,2,2700,,
9022074000069001,9022074073781001,2,240,,
9022074000001001,9022074020749001,2,1200,,
9022074000001001,9022074004383001,2,1200,,
9022074064286001,9022074045571001,2,300,,
9022074027905001,9022074023147001,2,1500,,
9022074075147001,9022074000007001,2,1200,,
9022074000070001,9022074010760001,2,1200,,
9022086024917001,9022086000626001,2,1200,,
9022074018443001,9022074000228001,2,240,,
9022074000300001,9022074071974001,2,900,,
9022074020133001,9022074020131001,2,3600,,
9022074020133001,9022074020132001,2,3000,,
9022074001617001,9022074035997001,2,600,,
9022074001581001,9022074023840001,2,900,,
9022086099656001,9022086000858001,2,2400,,
9022074000170001,9022074020297001,2,1200,,
9022074020133001,9022074020134001,2,3000,,
9022074059478001,9022074030117001,2,600,,
9022074020749001,9022074004383001,2,600,,
9022074000308001,9022074018474001,2,660,,
9022074000210001,9022074021809001,2,1200,,
9022074021809001,9022074019659001,2,1800,,
9022074045571001,9022074021672001,2,480,,
9022074024382001,9022074035997001,2,600,,
9022074000133001,9022074027905001,2,1200,,
9022074000622001,9022074001541001,2,1200,,
9022074000622001,9022074035997001,2,1500,,
9022074064286001,9022074000773001,2,600,,
9022074000924001,9022074011490001,2,600,,
9022074023844001,9022074069350001,2,600,,
9022074020260001,9022074000090001,2,600,,
9022074000230001,9022074020700001,2,1200,,
9022074010113001,9022074000303001,2,1200,,
9022074000070001,9022074057604001,2,1200,,
9022076090001001,9022076000100001,2,1800,,
9022074000042001,9022074020299001,2,1200,,
9022074000005001,9022074007178001,2,600,,
9022074020116001,9022074020461001,2,1500,,
9022074000072001,9022074012655001,2,1800,,
9022074004383001,9022074020749001,2,600,,
9022074069350001,9022074020749001,2,600,,
9022074012144001,9022074000001001,2,1800,,
9022074025509001,9022074000620001,2,1200,,
9022074012655001,9022074000072001,2,1800,,
9022074018254001,9022074000019001,2,900,,
9022074001622001,9022074076297001,2,300,,
9022074035997001,9022074023844001,2,900,,
9022074044669001,9022074000180001,2,900,,
9022074024382001,9022074000622001,2,1500,,
9022074000002001,9022074059478001,2,900,,
9022074000032001,9022074017706001,2,900,,
9022074032125001,9022074020510001,2,1200,,
9022076090001001,9022076002348001,2,3600,,
9022074004383001,9022074023844001,2,600,,
9022074023844001,9022074035997001,2,900,,
9022074010441001,9022074000602001,2,900,,
9022086099659001,9022086000858001,2,2400,,
9022074020131001,9022074020133001,2,3600,,
9022074020131001,9022074020134001,2,3000,,
9022074020131001,9022074020132001,2,3000,,
9022074000602001,9022074010441001,2,900,,
9022074000031001,9022074069192001,2,720,,
9022074011490001,9022074000924001,2,600,,
9022074015585001,9022074000002001,2,900,,
9022074000244001,9022074020163001,2,900,,
9022074000556001,9022074020131001,2,4500,,
9022074000556001,9022074020132001,2,3000,,
9022074000556001,9022074020133001,2,5100,,
9022074000556001,9022074020134001,2,3000,,
9022074024382001,9022074069350001,2,600,,
9022074015017001,9022074000130001,2,900,,
9022076002348001,9022076090001001,2,3000,,
9022074024382001,9022074001617001,2,600,,
9022074050778001,9022074000419001,2,1200,,
9022074020490001,9022074020483001,2,1020,,
9022074035997001,9022074000622001,2,1500,,
9022074024382001,9022074023844001,2,600,,
9022074032589001,9022074000073001,2,900,,
9022074010444001,9022074000063001,2,900,,
9022074000120001,9022074073664001,2,1800,,
9022074023844001,9022074001617001,2,600,,
9022074000009001,9022074010955001,2,1200,,
9022074000090001,9022074020260001,2,600,,
9022074000140001,9022074024352001,2,1200,,
9022074017706001,9022074000032001,2,900,,
9022074023138001,9022074000005001,2,1500,,
9022080080603001,9022080080600001,2,2700,,
9022074073284001,9022074020170001,2,900,,
9022074069192001,9022074000031001,2,720,,
9022074000020001,9022074056794001,2,1200,,
9022074020700001,9022074000230001,2,1200,,
9022074020483001,9022074030117001,2,900,,
9022074000622001,9022074000001001,2,1200,,
9022074074615001,9022074043449001,2,420,,
9022074014841001,9022074000156001,2,2400,,
9022074076077001,9022074000072001,2,600,,
9022074000230001,9022074020510001,2,480,,
9022074016547001,9022074000120001,2,900,,
9022074020749001,9022074012144001,2,1800,,
9022074000111001,9022074074133001,2,600,,
9022074033000001,9022074000096001,2,1200,,
9022074000073001,9022074032589001,2,900,,
9022074000002001,9022074015585001,2,900,,
9022074023844001,9022074000622001,2,1200,,
9022074000003001,9022074072050001,2,1200,,
9022074020461001,9022074000190001,2,900,,
9022074062751001,9022074029154001,2,1800,,
9022074024254001,9022074000250001,2,1020,,
9022074000190001,9022074020461001,2,900,,
9022074001568001,9022074001014001,2,1200,,
9022074021096001,9022074000077001,2,300,,
9022074023147001,9022074027905001,2,1500,,
9022074000620001,9022074025509001,2,1200,,
9022074024006001,9022074000090001,2,900,,
9022074032195001,9022074000069001,2,900,,
9022074000063001,9022074010444001,2,900,,
9022074023138001,9022074007415001,2,1200,,
9022074020490001,9022074030117001,2,600,,
9022074069350001,9022074000622001,2,1200,,
9022074000622001,9022074023844001,2,1200,,
9022074012144001,9022074000622001,2,1800,,
9022074000228001,9022074018443001,2,240,,
9022074001602001,9022074014990001,2,3600,,
9022074020752001,9022074015585001,2,720,,
9022074000482001,9022074010464001,2,1200,,
9022074000005001,9022074007354001,2,720,,
9022074010040001,9022074000221001,2,1200,,
9022074029154001,9022074062751001,2,1800,,
9022074020749001,9022074024382001,2,600,,
9022074057604001,9022074000070001,2,1200,,
9022074000001001,9022074024382001,2,1500,,
9022074001617001,9022074001541001,2,900,,
9022074000526001,9022074025928001,2,1800,,
9022074020469001,9022074000044001,2,1800,,
9022074020707001,9022074000110001,2,2700,,
9022074074532001,9022074001370001,2,300,,
9022074007178001,9022074007415001,2,1500,,
9022086099659001,9022086099658001,2,2700,,
9022086099659001,9022086099656001,2,2700,,
9022074018474001,9022074000308001,2,660,,
9022074000556001,9022074033206001,2,14640,,
9022074020510001,9022074000230001,2,480,,
9022074000282001,9022074013726001,2,1800,,
9022074007415001,9022074007178001,2,1500,,
9022074004383001,9022074024382001,2,600,,
9022074045571001,9022074000773001,2,600,,
9022074019659001,9022074021809001,2,1800,,
9022074069350001,9022074001617001,2,600,,
9022074000242001,9022074025851001,2,900,,
9022074024254001,9022074034378001,2,840,,
9022074036326001,9022074022983001,2,900,,
9022074069350001,9022074023844001,2,600,,
9022074012144001,9022074001617001,2,1800,,
9022074012993001,9022074000160001,2,1320,,
9022074016757001,9022074000120001,2,1800,,
9022074030117001,9022074000002001,2,900,,
9022074000160001,9022074025264001,2,840,,
9022074024577001,9022074000301001,2,180,,
9022074000110001,9022074020707001,2,2700,,
9022074020698001,9022074040991001,2,300,,
9022074000242001,9022074018094001,2,900,,
9022074000156001,9022074014841001,2,2400,,
9022074040991001,9022074020698001,2,300,,
9022086099656001,9022086099658001,2,2700,,
9022086099656001,9022086099659001,2,2700,,
9022074000190001,9022074020116001,2,1500,,
9022074023167001,9022074000190001,2,1200,,
9022080020400001,9022080020382001,2,3600,,
9022074014856001,9022074000144001,2,1020,,
9022074020483001,9022074015585001,2,540,,
9022074071752001,9022074000020001,2,900,,
9022074024382001,9022074004383001,2,600,,
9022074072220001,9022074000030001,2,660,,
9022074073781001,9022074000069001,2,240,,
9022074012938001,9022074000026001,2,1200,,
9022074000250001,9022074034903001,2,900,,
9022074045571001,9022074064286001,2,300,,
9022074020490001,9022074020752001,2,1020,,
9022074035997001,9022074020749001,2,600,,
9022074000130001,9022074018261001,2,1800,,
9022074000020001,9022074071752001,2,900,,
9022074001541001,9022074001617001,2,900,,
9022074020361001,9022074000004001,2,900,,
9022074010563001,9022074000674001,2,1500,,
9022074000077001,9022074021096001,2,600,,
9022074018094001,9022074000242001,2,900,,
9022074035997001,9022074004383001,2,900,,
9022074000030001,9022074025475001,2,1800,,
9022074045549001,9022074000031001,2,720,,
9022074020132001,9022074020131001,2,2700,,
9022074024352001,9022074000140001,2,1200,,
9022074020132001,9022074020133001,2,2700,,
9022074020132001,9022074020134001,2,1500,,
9022074034378001,9022074000250001,2,900,,
9022074021035001,9022074010464001,2,900,,
9022074001617001,9022074023844001,2,600,,
9022074000005001,9022074007415001,2,1200,,
9022074000315001,9022074015633001,2,600,,
9022074000622001,9022074001617001,2,1800,,
9022074023147001,9022074000133001,2,1200,,
9022074000001001,9022074012144001,2,1800,,
9022074024382001,9022074020749001,2,600,,
9022074000044001,9022074020469001,2,1800,,
9022074020132001,9022074000556001,2,2100,,
9022074000005001,9022074007414001,2,720,,
9022074000001001,9022074069350001,2,1200,,
9022074059478001,9022074015585001,2,900,,
9022074012144001,9022074035997001,2,2400,,
9022074069192001,9022074045549001,2,300,,
9022074013013001,9022074000030001,2,1800,,
9022074020699001,9022074020510001,2,1200,,
9022074000073001,9022074032590001,2,240,,
9022074001541001,9022074000622001,2,1200,,
9022074020132001,9022074033206001,2,1800,,
9022074018253001,9022074000019001,2,900,,
9022074000480001,9022074000119001,2,1200,,
9022074000759001,9022074072858001,2,1200,,
9022074017298001,9022074000120001,2,960,,
9022074000007001,9022074075147001,2,1200,,
9022074020700001,9022074020510001,2,1200,,
9022074023844001,9022074020749001,2,600,,
9022074035997001,9022074000001001,2,1500,,
9022074021035001,9022074000482001,2,1500,,
9022086000626001,9022086024917001,2,1200,,
9022074020116001,9022074000190001,2,1500,,
9022080020403001,9022080020400001,2,3600,,
9022074007415001,9022074000005001,2,1200,,
9022074000004001,9022074020361001,2,1200,,
9022074000004001,9022074020362001,2,1200,,
9022074015574001,9022074000003001,2,1200,,
9022074004383001,9022074069350001,2,600,,
9022074035997001,9022074069350001,2,900,,
9022074020510001,9022074032125001,2,1200,,
9022074000090001,9022074024006001,2,900,,
9022086000858001,9022086099659001,2,4200,,
9022086000858001,9022086099658001,2,4200,,
9022074000080001,9022074074615001,2,780,,
9022086000858001,9022086099656001,2,4200,,
9022074023147001,9022074021190001,2,1500,,
9022074007354001,9022074000005001,2,720,,
9022074007415001,9022074023138001,2,1200,,
9022074000030001,9022074013013001,2,1800,,
9022074015585001,9022074030117001,2,900,,
9022074034903001,9022074000250001,2,900,,
9022074030117001,9022074020483001,2,900,,
9022074020361001,9022074020362001,2,600,,
9022074043449001,9022074000080001,2,660,,
9022074000045001,9022074074413001,2,1200,,
9022074000230001,9022074032125001,2,1200,,
9022074012144001,9022074020749001,2,1800,,
9022074000002001,9022074030117001,2,900,,
9022074000099001,9022074011860001,2,1800,,
9022074020749001,9022074035997001,2,600,,
9022074069350001,9022074000001001,2,1200,,
9022074000030001,9022074072220001,2,1800,,
9022074021190001,9022074023147001,2,1500,,
9022074030117001,9022074020490001,2,600,,
9022074024542001,9022074000005001,2,900,,
9022074010955001,9022074000009001,2,1200,,
9022074011251001,9022074000069001,2,720,,
9022074004383001,9022074000001001,2,1200,,
9022074020134001,9022074000556001,2,2100,,
9022074000096001,9022074033000001,2,1200,,
9022074020170001,9022074073284001,2,900,,
9022074032125001,9022074000230001,2,1200,,
9022074023844001,9022074004383001,2,600,,
9022074000194001,9022074021101001,2,1800,,
